date	age_group	new_cases	cumulative_cases
2026-08-26	0-4		36
2026-08-26	5-9		27
2026-08-26	10-17		71
2026-08-26	18-24		111
2026-08-26	25-49		157
2026-08-26	50-64		22
2026-08-28	0-4	6	42
2026-08-28	10-17	7	78
2026-08-28	18-24	9	120
2026-08-28	25-49	13	170
2026-08-28	50-64	1	23
2026-08-31	0-4	2	44
2026-08-31	10-17	7	85
2026-08-31	18-24	15	135
2026-08-31	25-49	12	182
2026-08-31	50-64	1	24
2026-09-02	0-4	4	48
2026-09-02	10-17	2	87
2026-09-02	18-24	14	149
2026-09-02	25-49	17	199
2026-09-02	50-64	6	30
2026-09-04	0-4	3	51
2026-09-04	5-9	3	30
2026-09-04	10-17	5	92
2026-09-04	18-24	8	157
2026-09-04	25-49	17	216
2026-09-04	65+		1
2026-09-08	0-4	1	52
2026-09-08	5-9	1	31
2026-09-08	10-17	2	94
2026-09-08	18-24	2	159
2026-09-08	25-49	10	226
2026-09-08	50-64	1	31
2026-09-09	0-4	2	54
2026-09-09	10-17	5	99
2026-09-09	18-24	7	166
2026-09-09	25-49	15	241
2026-09-09	50-64	1	32
2026-09-11	0-4	8	62
2026-09-11	5-9	4	35
2026-09-11	10-17	6	105
2026-09-11	18-24	14	180
2026-09-11	25-49	18	259
2026-09-11	50-64	2	34
2026-09-14	0-4	5	67
2026-09-14	5-9	1	36
2026-09-14	10-17	2	107
2026-09-14	18-24	1	181
2026-09-14	25-49	6	265
2026-09-14	50-64	2	36
2026-09-16	0-4	7	74
2026-09-16	5-9	3	39
2026-09-16	10-17	4	111
2026-09-16	18-24	10	191
2026-09-16	25-49	13	278
2026-09-16	50-64	1	37
