date	county	new_cases	cumulative_cases	source
2026-01-30	Lancaster	5	5	https://www.pa.gov/content/dam/copapwp-pagov/en/health/documents/topics/documents/2026%20HAN/2026-817-2-3-ADV-%20Measles.pdf
2026-02-04	Montgomery	1	1	
2026-02-12	Lancaster	1	6	
2026-02-12	Chester	1	1	
2026-02-24	Lancaster	1	7	
2026-02-24	Montgomery	2	3	
2026-02-26	Lancaster	1	8	
2026-04-23	Lebanon	1	1	https://www.inquirer.com/health/measles-lebanon-county-pennsylvania-vaccination-rates-20260506.html
2026-04-27	Lancaster	2	10	https://lancasteronline.com/news/ephrata/2-ephrata-mennonite-school-students-diagnosed-with-measles-have-since-recovered/article_4f7cb1c3-4520-4518-bb6f-2069f2a39e72.html
2026-04-30	Lebanon	2	3	
2026-05-06	Lebanon	8	11	
2026-05-07	Lebanon	1	12	
2026-05-15	Lancaster	3	13	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html
2026-05-15	Berks	1	1	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html
2026-05-22	Lebanon	2	14	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html
2026-05-22	Lancaster	1	14	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html
2026-05-22	Dauphin	1	1	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html
2026-05-26	Lancaster	3	17	PDOH Email
2026-05-29	Lancaster	1	18	PDOH Email
2026-06-02	Lancaster	5	23	PDOH Email
2026-06-02	Dauphin	1	2	PDOH Email
2026-06-03	Lancaster	6	29	PDOH Email
2026-06-05	Lebanon	5	19	PDOH Email
2026-06-05	Lancaster	5	34	PDOH Email
2026-06-08	Lancaster	2	36	Scrape of PDOH measles webpage
2026-06-12	Lancaster	3	39	Scrape of PDOH measles webpage
2026-06-15	Lancaster	1	40	Scrape of PDOH measles webpage
2026-06-17	Lebanon	1	20	Scrape of PDOH measles webpage
2026-06-22	Berks	1	2	Scrape of PDOH measles webpage
2026-06-22	Lancaster	4	44	Scrape of PDOH measles webpage
2026-06-22	York	1	1	Scrape of PDOH measles webpage
2026-06-24	Lancaster	2	46	Scrape of PDOH measles webpage
2026-06-24	Northumberland	6	6	Manual correction — missed by scraper, confirmed via PDOH
2026-06-26	Lancaster	3	49	Scrape of PDOH measles webpage
2026-06-29	Chester	1	2	Scrape of PDOH measles webpage
2026-06-29	Lancaster	2	51	Scrape of PDOH measles webpage
2026-07-01	Chester	1	3	Scrape of PDOH measles webpage
2026-07-01	York	1	2	Scrape of PDOH measles webpage
2026-07-06	Berks	1	3	Scrape of PDOH measles webpage
2026-07-06	Lancaster	5	56	Scrape of PDOH measles webpage
2026-07-08	Chester	2	5	Scrape of PDOH measles webpage
2026-07-08	Lancaster	4	60	Scrape of PDOH measles webpage
2026-07-24	Berks	1	4	Scrape of PDOH measles webpage
2026-07-24	Chester	9	14	Scrape of PDOH measles webpage
2026-07-24	Indiana	1	1	Scrape of PDOH measles webpage
2026-07-24	Lancaster	23	83	Scrape of PDOH measles webpage
2026-07-24	Mifflin	1	1	Scrape of PDOH measles webpage
2026-07-24	Snyder	1	1	Scrape of PDOH measles webpage
2026-07-24	York	2	4	Scrape of PDOH measles webpage
2026-07-27	Lancaster	1	84	Scrape of PDOH measles webpage
2026-07-27	York	2	6	Scrape of PDOH measles webpage
2026-07-29	Bedford	1	1	Scrape of PDOH measles webpage
2026-07-29	Chester	3	17	Scrape of PDOH measles webpage
2026-07-29	Indiana	2	3	Scrape of PDOH measles webpage
2026-07-29	Lancaster	8	92	Scrape of PDOH measles webpage
2026-07-29	Northumberland	1	7	Scrape of PDOH measles webpage
2026-07-29	Perry	1	1	Scrape of PDOH measles webpage
2026-07-31	Chester	2	19	Scrape of PDOH measles webpage
2026-07-31	Lancaster	6	98	Scrape of PDOH measles webpage
2026-07-31	York	1	7	Scrape of PDOH measles webpage
2026-08-03	Chester	1	20	Scrape of PDOH measles webpage
2026-08-03	Lancaster	6	104	Scrape of PDOH measles webpage
2026-08-03	Lehigh	2	2	Scrape of PDOH measles webpage
2026-08-05	Centre	1	1	Scrape of PDOH measles webpage
2026-08-05	Chester	1	21	Scrape of PDOH measles webpage
2026-08-05	Clarion	1	1	Scrape of PDOH measles webpage
2026-08-05	Jefferson	1	1	Scrape of PDOH measles webpage
2026-08-05	Lancaster	12	116	Scrape of PDOH measles webpage
2026-08-05	Mifflin	3	4	Scrape of PDOH measles webpage
2026-08-05	Perry	3	4	Scrape of PDOH measles webpage
2026-08-05	Snyder	1	2	Scrape of PDOH measles webpage
2026-08-05	York	3	10	Scrape of PDOH measles webpage
2026-08-07	Centre	1	2	Scrape of PDOH measles webpage
2026-08-07	Chester	1	22	Scrape of PDOH measles webpage
2026-08-07	Jefferson	2	3	Scrape of PDOH measles webpage
2026-08-07	Lancaster	16	132	Scrape of PDOH measles webpage
2026-08-07	Mifflin	2	6	Scrape of PDOH measles webpage
2026-08-07	York	2	12	Scrape of PDOH measles webpage
2026-08-10	Chester	1	23	Scrape of PDOH measles webpage
2026-08-10	Clearfield	2	2	Scrape of PDOH measles webpage
2026-08-10	Jefferson	1	4	Scrape of PDOH measles webpage
2026-08-10	Lancaster	1	133	Scrape of PDOH measles webpage
2026-08-10	Snyder	1	3	Scrape of PDOH measles webpage
2026-08-12	Centre	1	3	Scrape of PDOH measles webpage
2026-08-12	Chester	3	26	Scrape of PDOH measles webpage
2026-08-12	Clarion	1	2	Scrape of PDOH measles webpage
2026-08-12	Clearfield	1	3	Scrape of PDOH measles webpage
2026-08-12	Huntingdon	1	1	Scrape of PDOH measles webpage
2026-08-12	Lancaster	12	145	Scrape of PDOH measles webpage
2026-08-12	Mifflin	5	11	Scrape of PDOH measles webpage
2026-08-12	York	2	14	Scrape of PDOH measles webpage
2026-08-14	Centre	3	6	Scrape of PDOH measles webpage
2026-08-14	Chester	11	37	Scrape of PDOH measles webpage
2026-08-14	Clearfield	1	4	Scrape of PDOH measles webpage
2026-08-14	Dauphin	1	3	Scrape of PDOH measles webpage
2026-08-14	Indiana	1	4	Scrape of PDOH measles webpage
2026-08-14	Lancaster	16	161	Scrape of PDOH measles webpage
2026-08-14	Mifflin	3	14	Scrape of PDOH measles webpage
2026-08-14	Snyder	1	4	Scrape of PDOH measles webpage
2026-08-14	York	1	15	Scrape of PDOH measles webpage
2026-08-17	Centre	1	7	Scrape of PDOH measles webpage
2026-08-17	Columbia	1	1	Scrape of PDOH measles webpage
2026-08-17	Jefferson	2	6	Scrape of PDOH measles webpage
2026-08-17	Lancaster	1	162	Scrape of PDOH measles webpage
2026-08-17	Lycoming	1	1	Scrape of PDOH measles webpage
2026-08-17	Mifflin	3	17	Scrape of PDOH measles webpage
2026-08-17	Snyder	2	6	Scrape of PDOH measles webpage
2026-08-19	Bedford	1	2	Scrape of PDOH measles webpage
2026-08-19	Centre	3	10	Scrape of PDOH measles webpage
2026-08-19	Chester	1	38	Scrape of PDOH measles webpage
2026-08-19	Clearfield	3	7	Scrape of PDOH measles webpage
2026-08-19	Clinton	1	1	Scrape of PDOH measles webpage
2026-08-19	Elk	1	1	Scrape of PDOH measles webpage
2026-08-19	Indiana	4	8	Scrape of PDOH measles webpage
2026-08-19	Jefferson	1	7	Scrape of PDOH measles webpage
2026-08-19	Lancaster	5	167	Scrape of PDOH measles webpage
2026-08-19	Lebanon	1	21	Scrape of PDOH measles webpage
2026-08-19	Mercer	1	1	Scrape of PDOH measles webpage
2026-08-19	Mifflin	2	19	Scrape of PDOH measles webpage
2026-08-19	Snyder	6	12	Scrape of PDOH measles webpage
2026-08-19	Somerset	1	1	Scrape of PDOH measles webpage
2026-08-19	Union	1	1	Scrape of PDOH measles webpage
2026-08-19	Warren	1	1	Scrape of PDOH measles webpage
2026-08-21	Centre	3	13	Scrape of PDOH measles webpage
2026-08-21	Chester	3	41	Scrape of PDOH measles webpage
2026-08-21	Clearfield	1	8	Scrape of PDOH measles webpage
2026-08-21	Elk	3	4	Scrape of PDOH measles webpage
2026-08-21	Jefferson	4	11	Scrape of PDOH measles webpage
2026-08-21	Lancaster	14	181	Scrape of PDOH measles webpage
2026-08-21	Mifflin	6	25	Scrape of PDOH measles webpage
2026-08-21	Snyder	1	13	Scrape of PDOH measles webpage
2026-08-21	Somerset	2	3	Scrape of PDOH measles webpage
2026-08-21	Venango	1	1	Scrape of PDOH measles webpage
2026-08-21	Warren	1	2	Scrape of PDOH measles webpage
2026-08-24	Centre	1	14	Scrape of PDOH measles webpage
2026-08-24	Clearfield	1	9	Scrape of PDOH measles webpage
2026-08-24	Clinton	1	2	Scrape of PDOH measles webpage
2026-08-24	Jefferson	1	12	Scrape of PDOH measles webpage
2026-08-24	Lancaster	4	185	Scrape of PDOH measles webpage
2026-08-24	Mercer	1	2	Scrape of PDOH measles webpage
2026-08-24	Mifflin	4	29	Scrape of PDOH measles webpage
2026-08-24	Potter	1	1	Scrape of PDOH measles webpage
2026-08-26	Jefferson	3	15	Scrape of PDOH measles webpage
2026-08-26	Lancaster	12	197	Scrape of PDOH measles webpage
2026-08-26	Lycoming	1	2	Scrape of PDOH measles webpage
2026-08-26	Mifflin	8	37	Scrape of PDOH measles webpage
2026-08-26	Snyder	4	17	Scrape of PDOH measles webpage
2026-08-26	Somerset	1	4	Scrape of PDOH measles webpage
2026-08-26	Warren	1	3	Scrape of PDOH measles webpage
2026-08-26	Westmoreland	1	1	Scrape of PDOH measles webpage
2026-08-28	Centre	1	15	Scrape of PDOH measles webpage
2026-08-28	Chester	2	43	Scrape of PDOH measles webpage
2026-08-28	Franklin	1	1	Scrape of PDOH measles webpage
2026-08-28	Jefferson	1	16	Scrape of PDOH measles webpage
2026-08-28	Lancaster	13	210	Scrape of PDOH measles webpage
2026-08-28	Lycoming	1	3	Scrape of PDOH measles webpage
2026-08-28	Mercer	1	3	Scrape of PDOH measles webpage
2026-08-28	Mifflin	6	43	Scrape of PDOH measles webpage
2026-08-28	Potter	3	4	Scrape of PDOH measles webpage
2026-08-28	Snyder	4	21	Scrape of PDOH measles webpage
2026-08-28	Union	1	2	Scrape of PDOH measles webpage
2026-08-28	York	2	17	Scrape of PDOH measles webpage
2026-08-31	Adams	1	1	Scrape of PDOH measles webpage
2026-08-31	Chester	7	50	Scrape of PDOH measles webpage
2026-08-31	Clearfield	1	10	Scrape of PDOH measles webpage
2026-08-31	Cumberland	1	1	Scrape of PDOH measles webpage
2026-08-31	Franklin	1	2	Scrape of PDOH measles webpage
2026-08-31	Jefferson	2	18	Scrape of PDOH measles webpage
2026-08-31	Lancaster	17	227	Scrape of PDOH measles webpage
2026-08-31	Montour	1	1	Scrape of PDOH measles webpage
2026-08-31	Snyder	1	22	Scrape of PDOH measles webpage
2026-08-31	Somerset	1	5	Scrape of PDOH measles webpage
2026-08-31	Union	2	4	Scrape of PDOH measles webpage
2026-08-31	York	2	19	Scrape of PDOH measles webpage
2026-09-02	Armstrong	1	1	Scrape of PDOH measles webpage
2026-09-02	Centre	2	17	Scrape of PDOH measles webpage
2026-09-02	Chester	2	52	Scrape of PDOH measles webpage
2026-09-02	Clarion	1	3	Scrape of PDOH measles webpage
2026-09-02	Clearfield	2	12	Scrape of PDOH measles webpage
2026-09-02	Dauphin	1	4	Scrape of PDOH measles webpage
2026-09-02	Indiana	1	9	Scrape of PDOH measles webpage
2026-09-02	Jefferson	5	23	Scrape of PDOH measles webpage
2026-09-02	Lancaster	15	242	Scrape of PDOH measles webpage
2026-09-02	McKean	2	2	Scrape of PDOH measles webpage
2026-09-02	Mercer	1	4	Scrape of PDOH measles webpage
2026-09-02	Mifflin	6	49	Scrape of PDOH measles webpage
2026-09-02	Snyder	1	23	Scrape of PDOH measles webpage
2026-09-02	Somerset	1	6	Scrape of PDOH measles webpage
2026-09-02	Warren	1	4	Scrape of PDOH measles webpage
2026-09-02	York	1	20	Scrape of PDOH measles webpage
2026-09-04	Cambria	1	1	Scrape of PDOH measles webpage
2026-09-04	Chester	4	56	Scrape of PDOH measles webpage
2026-09-04	Clarion	2	5	Scrape of PDOH measles webpage
2026-09-04	Clinton	2	4	Scrape of PDOH measles webpage
2026-09-04	Indiana	1	10	Scrape of PDOH measles webpage
2026-09-04	Jefferson	1	24	Scrape of PDOH measles webpage
2026-09-04	Lancaster	4	246	Scrape of PDOH measles webpage
2026-09-04	McKean	1	3	Scrape of PDOH measles webpage
2026-09-04	Mifflin	8	57	Scrape of PDOH measles webpage
2026-09-04	Potter	2	6	Scrape of PDOH measles webpage
2026-09-04	Snyder	1	24	Scrape of PDOH measles webpage
2026-09-04	Somerset	6	12	Scrape of PDOH measles webpage
2026-09-04	Warren	2	6	Scrape of PDOH measles webpage
2026-09-04	York	2	22	Scrape of PDOH measles webpage
2026-09-08	Lancaster	6	252	Scrape of PDOH measles webpage
2026-09-08	McKean	1	4	Scrape of PDOH measles webpage
2026-09-08	Mifflin	9	66	Scrape of PDOH measles webpage
2026-09-08	York	1	23	Scrape of PDOH measles webpage
2026-09-09	Chester	3	59	Scrape of PDOH measles webpage
2026-09-09	Clearfield	1	13	Scrape of PDOH measles webpage
2026-09-09	Lancaster	16	268	Scrape of PDOH measles webpage
2026-09-09	Mifflin	3	69	Scrape of PDOH measles webpage
2026-09-09	Northumberland	1	8	Scrape of PDOH measles webpage
2026-09-09	Snyder	3	27	Scrape of PDOH measles webpage
2026-09-09	Somerset	1	13	Scrape of PDOH measles webpage
2026-09-09	Union	1	5	Scrape of PDOH measles webpage
2026-09-09	York	1	24	Scrape of PDOH measles webpage
2026-09-11	Centre	1	18	Scrape of PDOH measles webpage
2026-09-11	Chester	6	65	Scrape of PDOH measles webpage
2026-09-11	Clearfield	3	16	Scrape of PDOH measles webpage
2026-09-11	Indiana	1	11	Scrape of PDOH measles webpage
2026-09-11	Jefferson	2	26	Scrape of PDOH measles webpage
2026-09-11	Lancaster	27	295	Scrape of PDOH measles webpage
2026-09-11	McKean	4	8	Scrape of PDOH measles webpage
2026-09-11	Mifflin	5	74	Scrape of PDOH measles webpage
2026-09-11	Union	2	7	Scrape of PDOH measles webpage
2026-09-11	Warren	1	7	Scrape of PDOH measles webpage
2026-09-14	Bradford	1	1	Scrape of PDOH measles webpage
2026-09-14	Centre	1	19	Scrape of PDOH measles webpage
2026-09-14	Clearfield	3	19	Scrape of PDOH measles webpage
2026-09-14	Columbia	1	2	Scrape of PDOH measles webpage
2026-09-14	Dauphin	1	5	Scrape of PDOH measles webpage
2026-09-14	Huntingdon	1	2	Scrape of PDOH measles webpage
2026-09-14	Jefferson	2	28	Scrape of PDOH measles webpage
2026-09-14	Lancaster	1	296	Scrape of PDOH measles webpage
2026-09-14	Mifflin	5	79	Scrape of PDOH measles webpage
2026-09-14	Snyder	1	28	Scrape of PDOH measles webpage
2026-09-16	Chester	2	67	Scrape of PDOH measles webpage
2026-09-16	Clarion	1	6	Scrape of PDOH measles webpage
2026-09-16	Dauphin	1	6	Scrape of PDOH measles webpage
2026-09-16	Franklin	1	3	Scrape of PDOH measles webpage
