date	category	new_hospitalizations	cumulative_hospitalizations
2026-08-28	total		83
2026-08-28	children		24
2026-08-28	adult		59
2026-08-31	total	4	87
2026-08-31	children	0	24
2026-08-31	adult	4	63
2026-09-01	total	0	87
2026-09-01	children	0	24
2026-09-01	adult	0	63
2026-09-02	total	4	91
2026-09-02	children	1	25
2026-09-02	adult	3	66
2026-09-03	total	0	91
2026-09-03	children	0	25
2026-09-03	adult	0	66
2026-09-04	total	7	98
2026-09-04	children	3	28
2026-09-04	adult	4	70
2026-09-05	total	0	98
2026-09-05	children	0	28
2026-09-05	adult	0	70
2026-09-06	total	0	98
2026-09-06	children	0	28
2026-09-06	adult	0	70
2026-09-07	total	0	98
2026-09-07	children	0	28
2026-09-07	adult	0	70
2026-09-08	total	6	104
2026-09-08	children	1	29
2026-09-08	adult	5	75
2026-09-09	total	5	109
2026-09-09	children	-2	27
2026-09-09	adult	7	82
2026-09-10	total	0	109
2026-09-10	children	0	27
2026-09-10	adult	0	82
2026-09-11	total	15	124
2026-09-11	children	4	31
2026-09-11	adult	11	93
