date	new_cases	county	source	outbreak
	1	Chester		1
	8	Lancaster		1
	3	Montgomery		1
2026-04-23	1	Lebanon	https://www.inquirer.com/health/measles-lebanon-county-pennsylvania-vaccination-rates-20260506.html	2
2026-04-27	2	Lancaster	https://lancasteronline.com/news/ephrata/2-ephrata-mennonite-school-students-diagnosed-with-measles-have-since-recovered/article_4f7cb1c3-4520-4518-bb6f-2069f2a39e72.html	2
2026-04-30	2	Lebanon		2
2026-05-06	8	Lebanon		2
2026-05-07	1	Lebanon		2
2026-05-15	3	Lancaster	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html	2
2026-05-15	1	Berks	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html	2
2026-05-22	2	Lebanon	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2
2026-05-22	1	Lancaster	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2
2026-05-22	1	Dauphin	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2
2026-05-26	3	Lancaster	PDOH Email	2
2026-05-29	1	Lancaster	PDOH Email	2
2026-06-02	5	Lancaster	PDOH Email	2
2026-06-02	1	Dauphin	PDOH Email	2
2026-06-03	6	Lancaster	PDOH Email	2
2026-06-05	5	Lebanon	PDOH Email	2
2026-06-05	5	Lancaster	PDOH Email	2
2026-06-08	2	Lancaster	Scrape of PDOH measles webpage	2
2026-06-12	3	Lancaster	Scrape of PDOH measles webpage	2
2026-06-15	1	Lancaster	Scrape of PDOH measles webpage	2
2026-06-17	1	Lebanon	Scrape of PDOH measles webpage	2
2026-06-22	1	Berks	Scrape of PDOH measles webpage	2
2026-06-22	4	Lancaster	Scrape of PDOH measles webpage	2
2026-06-22	1	York	Scrape of PDOH measles webpage	2
2026-06-24	2	Lancaster	Scrape of PDOH measles webpage	2
2026-06-24	6	Northumberland	Manual correction — missed by scraper, confirmed via PDOH	2
2026-06-26	3	Lancaster	Scrape of PDOH measles webpage	2
2026-06-29	1	Chester	Scrape of PDOH measles webpage	2
2026-06-29	2	Lancaster	Scrape of PDOH measles webpage	2
2026-07-01	1	Chester	Scrape of PDOH measles webpage	2
2026-07-01	1	York	Scrape of PDOH measles webpage	2
2026-07-06	1	Berks	Scrape of PDOH measles webpage	2
2026-07-06	5	Lancaster	Scrape of PDOH measles webpage	2
2026-07-08	2	Chester	Scrape of PDOH measles webpage	2
2026-07-08	4	Lancaster	Scrape of PDOH measles webpage	2
2026-07-24	1	Berks	Scrape of PDOH measles webpage	2
2026-07-24	9	Chester	Scrape of PDOH measles webpage	2
2026-07-24	1	Indiana	Scrape of PDOH measles webpage	2
2026-07-24	23	Lancaster	Scrape of PDOH measles webpage	2
2026-07-24	1	Mifflin	Scrape of PDOH measles webpage	2
2026-07-24	1	Snyder	Scrape of PDOH measles webpage	2
2026-07-24	2	York	Scrape of PDOH measles webpage	2
2026-07-27	1	Lancaster	Scrape of PDOH measles webpage	2
2026-07-27	2	York	Scrape of PDOH measles webpage	2
