date	age_group	new_cases	cumulative_cases
2026-08-26	0-4		36
2026-08-26	5-9		27
2026-08-26	10-17		71
2026-08-26	18-24		111
2026-08-26	25-49		157
2026-08-26	50-64		22
2026-08-28	0-4	6	42
2026-08-28	10-17	7	78
2026-08-28	18-24	9	120
2026-08-28	25-49	13	170
2026-08-28	50-64	1	23
2026-08-31	0-4	2	44
2026-08-31	10-17	7	85
2026-08-31	18-24	15	135
2026-08-31	25-49	12	182
2026-08-31	50-64	1	24
2026-09-02	0-4	4	48
2026-09-02	10-17	2	87
2026-09-02	18-24	14	149
2026-09-02	25-49	17	199
2026-09-02	50-64	6	30
2026-09-04	0-4	3	51
2026-09-04	5-9	3	30
2026-09-04	10-17	5	92
2026-09-04	18-24	8	157
2026-09-04	25-49	17	216
2026-09-04	65+		1
