date	new_cases	county	source	outbreak	cumulative_cases
2026-01-30	5	Lancaster	https://www.pa.gov/content/dam/copapwp-pagov/en/health/documents/topics/documents/2026%20HAN/2026-817-2-3-ADV-%20Measles.pdf	1	5
2026-02-04	1	Montgomery		1	1
2026-02-12	1	Lancaster		1	6
2026-02-12	1	Chester		1	1
2026-02-24	1	Lancaster		1	7
2026-02-24	2	Montgomery		1	3
2026-02-26	1	Lancaster		1	8
2026-04-23	1	Lebanon	https://www.inquirer.com/health/measles-lebanon-county-pennsylvania-vaccination-rates-20260506.html	2	1
2026-04-27	2	Lancaster	https://lancasteronline.com/news/ephrata/2-ephrata-mennonite-school-students-diagnosed-with-measles-have-since-recovered/article_4f7cb1c3-4520-4518-bb6f-2069f2a39e72.html	2	2
2026-04-30	2	Lebanon		2	3
2026-05-06	8	Lebanon		2	11
2026-05-07	1	Lebanon		2	12
2026-05-15	3	Lancaster	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html	2	5
2026-05-15	1	Berks	https://www.inquirer.com/health/measles-outbreak-pennsylvania-lebanon-lancaster-berks-counties-cases-20260515.html	2	1
2026-05-22	2	Lebanon	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2	14
2026-05-22	1	Lancaster	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2	6
2026-05-22	1	Dauphin	https://www.inquirer.com/health/measles-outbreak-pennsylvania-cases-20260522.html	2	1
2026-05-26	3	Lancaster	PDOH Email	2	9
2026-05-29	1	Lancaster	PDOH Email	2	10
2026-06-02	5	Lancaster	PDOH Email	2	15
2026-06-02	1	Dauphin	PDOH Email	2	2
2026-06-03	6	Lancaster	PDOH Email	2	21
2026-06-05	5	Lebanon	PDOH Email	2	19
2026-06-05	5	Lancaster	PDOH Email	2	26
2026-06-08	2	Lancaster	Scrape of PDOH measles webpage	2	28
2026-06-12	3	Lancaster	Scrape of PDOH measles webpage	2	31
2026-06-15	1	Lancaster	Scrape of PDOH measles webpage	2	32
2026-06-17	1	Lebanon	Scrape of PDOH measles webpage	2	20
2026-06-22	1	Berks	Scrape of PDOH measles webpage	2	2
2026-06-22	4	Lancaster	Scrape of PDOH measles webpage	2	36
2026-06-22	1	York	Scrape of PDOH measles webpage	2	1
2026-06-24	2	Lancaster	Scrape of PDOH measles webpage	2	38
2026-06-24	6	Northumberland	Manual correction — missed by scraper, confirmed via PDOH	2	6
2026-06-26	3	Lancaster	Scrape of PDOH measles webpage	2	41
2026-06-29	1	Chester	Scrape of PDOH measles webpage	2	1
2026-06-29	2	Lancaster	Scrape of PDOH measles webpage	2	43
2026-07-01	1	Chester	Scrape of PDOH measles webpage	2	2
2026-07-01	1	York	Scrape of PDOH measles webpage	2	2
2026-07-06	1	Berks	Scrape of PDOH measles webpage	2	3
2026-07-06	5	Lancaster	Scrape of PDOH measles webpage	2	48
2026-07-08	2	Chester	Scrape of PDOH measles webpage	2	4
2026-07-08	4	Lancaster	Scrape of PDOH measles webpage	2	52
2026-07-24	1	Berks	Scrape of PDOH measles webpage	2	4
2026-07-24	9	Chester	Scrape of PDOH measles webpage	2	13
2026-07-24	1	Indiana	Scrape of PDOH measles webpage	2	1
2026-07-24	23	Lancaster	Scrape of PDOH measles webpage	2	75
2026-07-24	1	Mifflin	Scrape of PDOH measles webpage	2	1
2026-07-24	1	Snyder	Scrape of PDOH measles webpage	2	1
2026-07-24	2	York	Scrape of PDOH measles webpage	2	4
2026-07-27	1	Lancaster	Scrape of PDOH measles webpage	2	76
2026-07-27	2	York	Scrape of PDOH measles webpage	2	6
2026-07-29	1	Bedford	Scrape of PDOH measles webpage	2	1
2026-07-29	3	Chester	Scrape of PDOH measles webpage	2	16
2026-07-29	2	Indiana	Scrape of PDOH measles webpage	2	3
2026-07-29	8	Lancaster	Scrape of PDOH measles webpage	2	84
2026-07-29	1	Northumberland	Scrape of PDOH measles webpage	2	7
2026-07-29	1	Perry	Scrape of PDOH measles webpage	2	1
2026-07-31	2	Chester	Scrape of PDOH measles webpage	2	18
2026-07-31	6	Lancaster	Scrape of PDOH measles webpage	2	90
2026-07-31	1	York	Scrape of PDOH measles webpage	2	7
2026-08-03	1	Chester	Scrape of PDOH measles webpage	2	19
2026-08-03	6	Lancaster	Scrape of PDOH measles webpage	2	96
2026-08-03	2	Lehigh	Scrape of PDOH measles webpage	2	2
2026-08-05	1	Centre	Scrape of PDOH measles webpage	2	1
2026-08-05	1	Chester	Scrape of PDOH measles webpage	2	20
2026-08-05	1	Clarion	Scrape of PDOH measles webpage	2	1
2026-08-05	1	Jefferson	Scrape of PDOH measles webpage	2	1
2026-08-05	12	Lancaster	Scrape of PDOH measles webpage	2	108
2026-08-05	3	Mifflin	Scrape of PDOH measles webpage	2	4
2026-08-05	3	Perry	Scrape of PDOH measles webpage	2	4
2026-08-05	1	Snyder	Scrape of PDOH measles webpage	2	2
2026-08-05	3	York	Scrape of PDOH measles webpage	2	10
2026-08-07	1	Centre	Scrape of PDOH measles webpage	2	2
2026-08-07	1	Chester	Scrape of PDOH measles webpage	2	21
2026-08-07	2	Jefferson	Scrape of PDOH measles webpage	2	3
2026-08-07	16	Lancaster	Scrape of PDOH measles webpage	2	124
2026-08-07	2	Mifflin	Scrape of PDOH measles webpage	2	6
2026-08-07	2	York	Scrape of PDOH measles webpage	2	12
2026-08-10	1	Chester	Scrape of PDOH measles webpage	2	22
2026-08-10	2	Clearfield	Scrape of PDOH measles webpage	2	2
2026-08-10	1	Jefferson	Scrape of PDOH measles webpage	2	4
2026-08-10	1	Lancaster	Scrape of PDOH measles webpage	2	125
2026-08-10	1	Snyder	Scrape of PDOH measles webpage	2	3
2026-08-12	1	Centre	Scrape of PDOH measles webpage	2	3
2026-08-12	3	Chester	Scrape of PDOH measles webpage	2	25
2026-08-12	1	Clarion	Scrape of PDOH measles webpage	2	2
2026-08-12	1	Clearfield	Scrape of PDOH measles webpage	2	3
2026-08-12	1	Huntingdon	Scrape of PDOH measles webpage	2	1
2026-08-12	12	Lancaster	Scrape of PDOH measles webpage	2	137
2026-08-12	5	Mifflin	Scrape of PDOH measles webpage	2	11
2026-08-12	2	York	Scrape of PDOH measles webpage	2	14
2026-08-14	3	Centre	Scrape of PDOH measles webpage	2	6
2026-08-14	11	Chester	Scrape of PDOH measles webpage	2	36
2026-08-14	1	Clearfield	Scrape of PDOH measles webpage	2	4
2026-08-14	1	Dauphin	Scrape of PDOH measles webpage	2	3
2026-08-14	1	Indiana	Scrape of PDOH measles webpage	2	4
2026-08-14	16	Lancaster	Scrape of PDOH measles webpage	2	153
2026-08-14	3	Mifflin	Scrape of PDOH measles webpage	2	14
2026-08-14	1	Snyder	Scrape of PDOH measles webpage	2	4
2026-08-14	1	York	Scrape of PDOH measles webpage	2	15
2026-08-17	1	Centre	Scrape of PDOH measles webpage	2	7
2026-08-17	1	Columbia	Scrape of PDOH measles webpage	2	1
2026-08-17	2	Jefferson	Scrape of PDOH measles webpage	2	6
2026-08-17	1	Lancaster	Scrape of PDOH measles webpage	2	154
2026-08-17	1	Lycoming	Scrape of PDOH measles webpage	2	1
2026-08-17	3	Mifflin	Scrape of PDOH measles webpage	2	17
2026-08-17	2	Snyder	Scrape of PDOH measles webpage	2	6
2026-08-19	1	Bedford	Scrape of PDOH measles webpage	2	2
2026-08-19	3	Centre	Scrape of PDOH measles webpage	2	10
2026-08-19	1	Chester	Scrape of PDOH measles webpage	2	37
2026-08-19	3	Clearfield	Scrape of PDOH measles webpage	2	7
2026-08-19	1	Clinton	Scrape of PDOH measles webpage	2	1
2026-08-19	1	Elk	Scrape of PDOH measles webpage	2	1
2026-08-19	4	Indiana	Scrape of PDOH measles webpage	2	8
2026-08-19	1	Jefferson	Scrape of PDOH measles webpage	2	7
2026-08-19	5	Lancaster	Scrape of PDOH measles webpage	2	159
2026-08-19	1	Lebanon	Scrape of PDOH measles webpage	2	21
2026-08-19	1	Mercer	Scrape of PDOH measles webpage	2	1
2026-08-19	2	Mifflin	Scrape of PDOH measles webpage	2	19
2026-08-19	6	Snyder	Scrape of PDOH measles webpage	2	12
