date	category	new_hospitalizations	cumulative_hospitalizations
2026-08-28	total		83
2026-08-28	children		24
2026-08-28	adult		59
2026-08-31	total	4	87
2026-08-31	children	0	24
2026-08-31	adult	4	63
2026-09-01	total	0	87
2026-09-01	children	0	24
2026-09-01	adult	0	63
2026-09-02	total	4	91
2026-09-02	children	1	25
2026-09-02	adult	3	66
2026-09-03	total	0	91
2026-09-03	children	0	25
2026-09-03	adult	0	66
2026-09-04	total	7	98
2026-09-04	children	3	28
2026-09-04	adult	4	70
2026-09-05	total	0	98
2026-09-05	children	0	28
2026-09-05	adult	0	70
