week_start	new_cases	cumulative_cases
2026-01-26	5	5
2026-02-02	1	6
2026-02-09	2	8
2026-02-16	0	8
2026-02-23	4	12
2026-03-02	0	12
2026-03-09	0	12
2026-03-16	0	12
2026-03-23	0	12
2026-03-30	0	12
2026-04-06	0	12
2026-04-13	0	12
2026-04-20	1	13
2026-04-27	4	17
2026-05-04	9	26
2026-05-11	4	30
2026-05-18	4	34
2026-05-25	4	38
2026-06-01	22	60
2026-06-08	5	65
2026-06-15	2	67
2026-06-22	17	84
2026-06-29	5	89
2026-07-06	12	101
2026-07-13	9	110
2026-07-20	29	139
2026-07-27	28	167
2026-08-03	59	226
2026-08-10	70	296
2026-08-17	83	379
2026-08-24	81	460
2026-08-31	37	497
