date	new_cases	cumulative_cases	new_hospitalizations	cumulative_hospitalizations
2026-01-30	5	5		
2026-02-04	1	6		
2026-02-12	2	8		
2026-02-24	3	11		
2026-02-26	1	12		
2026-04-23	1	13		
2026-04-27	2	15		
2026-04-30	2	17		
2026-05-06	8	25		
2026-05-07	1	26		
2026-05-15	4	30		
2026-05-22	4	34		
2026-05-26	3	37		
2026-05-29	1	38		
2026-06-02	6	44		
2026-06-03	6	50		
2026-06-05	10	60		
2026-06-08	2	62		
2026-06-12	3	65		
2026-06-15	1	66		
2026-06-17	1	67		
2026-06-22	6	73		
2026-06-24	8	81		
2026-06-26	3	84		
2026-06-29	3	87		
2026-07-01	2	89		
2026-07-06	6	95		
2026-07-08	6	101		
2026-07-24	38	139		
2026-07-27	3	142		
2026-07-29	16	158		
2026-07-31	9	167		
2026-08-03	9	176		
2026-08-05	26	202		
2026-08-07	24	226		
2026-08-10	6	232		
2026-08-12	26	258		
2026-08-14	38	296		
2026-08-17	11	307		
2026-08-19	33	340		
2026-08-21	39	379		
2026-08-24	14	393		
2026-08-26	31	424		
2026-08-28	36	460		83
2026-08-31	37	497	4	87
2026-09-02	43	540	4	91
2026-09-04	37	577	7	98
2026-09-08	17	594	6	104
2026-09-09	30	624	5	109
2026-09-11	52	676	15	124
2026-09-14	17	693	9	133
2026-09-16	38	731	8	141
